,Name,App_id,Avg_Players,Gain,Perc_Gain,Peak_Players,Last 30 Days,April 2021,March 2021,February 2021,January 2021,December 2020,November 2020,October 2020,September 2020,August 2020,July 2020,June 2020,May 2020,April 2020,March 2020,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,January 2019,December 2018,November 2018,October 2018,September 2018,August 2018,July 2018,June 2018,May 2018,April 2018,March 2018,February 2018,January 2018,December 2017,November 2017,October 2017,September 2017,August 2017,July 2017,June 2017,May 2017,April 2017,March 2017,February 2017,January 2017,December 2016,November 2016,October 2016,September 2016,August 2016,July 2016,June 2016,May 2016,April 2016,March 2016,February 2016,January 2016,December 2015,November 2015,October 2015,September 2015,August 2015,July 2015,June 2015,May 2015,April 2015,March 2015,February 2015,January 2015,December 2014,November 2014,October 2014,September 2014,August 2014,July 2014,June 2014,May 2014,April 2014,March 2014,February 2014,January 2014,December 2013,November 2013,October 2013,September 2013,August 2013,July 2013,June 2013,May 2013,April 2013,March 2013,February 2013,January 2013,December 2012,November 2012,October 2012,September 2012,August 2012,July 2012,birth
10,Dead by Daylight,381210,0.0,0.0,1.0,0.0,+0.73,10.83,-3.35,-2.74,1.99,-1.79,8.4,-16.1,-0.62,-0.96,0.14,20.0,4.14,6.74,29.57,-0.68,2.07,-1.54,15.11,-13.11,21.84,+0.79,-11.17,+4.58,21.25,+3.54,-14.58,-13.14,11.95,6.47,-17.66,2.77,12.11,-11.84,13.55,41.41,9.56,-5.02,-20.69,14.27,7.5,-5.23,-3.54,2.71,17.22,20.11,+3.37,11.6,6.01,-11.91,-15.73,-25.05,-11.23,+13.82,21.48,-4.18,-18.76,18.7,18.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June 2016
11,Path of Exile,238960,0.0,0.0,1.0,0.0,+37.66,117.56,-56.82,-1.61,275.55,-28.84,-53.58,19.93,70.21,-45.96,15.83,59.54,-51.95,-7.32,140.78,-56.02,-4.1,245.19,-18.99,-40.98,130.82,-58.57,-45.53,+270.05,-30.86,-47.33,153.19,-61.34,-28.36,252.82,-25.48,-45.94,177.67,-34.93,-52.47,168.58,-26.89,-41.33,184.84,-51.05,-15.43,183.14,-26.48,-48.15,-38.29,414.57,-10.57,-7.54,-37.01,-38.54,161.44,-34.5,-30.66,+177.97,-28.71,-27.5,228.01,-32.07,-36.72,105.83,-46.32,-36.61,181.38,-38.64,0.03,104.38,-18.45,2.52,-49.56,-16.81,235.51,-25.57,3.2,7.72,-10.97,-23.68,10.06,50.27,-25.74,-36.47,17.42,89.21,6.07,-13.03,-22.47,-32.68,43.15,-28.16,-19.38,-36.27,-15.93,,,,,,,,,,,,,,,,,October 2013
12,PAYDAY 2,218620,0.0,0.0,1.0,0.0,+7.82,27.18,-6.11,-10.4,-2.8,-6.11,7.57,4.39,-10.16,3.49,4.26,-16.81,39.57,20.41,13.33,-8.57,-16.46,-14.82,150.92,19.23,-13.27,-23.77,49.34,+3.94,17.25,+2.98,-9.95,-10.59,-31.3,-4.17,15.54,1.33,-22.58,-32.92,-7.75,-4.04,-5.34,-10.42,-3.73,0.68,-10.81,-0.72,-14.27,18.83,-12.54,-24.56,-31.76,801.66,-44.72,126.19,-33.58,9.93,1.6,-9.13,-26.92,85.48,-6.25,-42.32,-2.37,109.58,-36.71,-3.94,2.5,-28.25,21.07,-4.18,-19.86,43.27,-27.67,33.54,-9.91,73.53,-31.59,-57.39,207.25,-37.93,-10.92,-19.58,-13.08,130.97,-27.41,-42.74,19.8,215.67,-16.23,-24.93,102.12,-30.43,-2.81,+32.33,+2.32,-50.89,-34.10,+222346.32,-43.61,+75.05,+89.52,-1.42,-24.83,+263.91,,+NaN,+NaN,+NaN,+NaN,,,August 2012
13,The Binding of Isaac: Rebirth,250900,0.0,0.0,1.0,0.0,-13.81,441.09,11.27,-1.36,26.22,1.01,5.22,4.26,-1.38,-8.7,6.12,-4.98,-8.62,3.24,9.87,9.58,3.35,3.33,16.8,5.29,3.46,-2.15,-8.09,-6.76,0.35,-12.08,-2.69,-6.2,4.29,-3.54,12.47,8.42,2.05,-15.04,-8.17,-21.66,59.99,-2.06,-10.46,-6.41,0.91,4.86,2.17,6.65,-4.39,-12.75,-2.80,4.36,-12.73,-14.69,-29.72,-32.44,135.75,+19.92,13.3,4.43,-3.04,-0.58,2.14,-4.1,-7.6,-22.23,-19.67,-21.17,-17.16,-28.52,139.3,40.74,1.14,9.19,-11.65,6.22,-2.28,-17.31,-13.64,-26.18,-17.33,-30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November 2014
14,Rocket League,252950,0.0,0.0,1.0,0.0,-8.74,6.16,-6.01,-9.63,-9.6,-2.64,-6.64,36.24,28.9,-1.65,1.84,-9.82,-15.73,11.74,19.35,-3.17,4.88,22.92,-1.6,8.93,-2.16,-10.82,-1.97,+2.48,6.18,+3.69,-1.27,-7.23,-2.82,7.48,-5.34,-3.28,16.5,-15.88,14.21,15.31,-7.96,-3.16,-3.79,-0.48,-9.45,16.88,-15.07,15.76,3.39,-13.48,+7.18,-1.84,-4.06,2.72,1.5,-5.58,0.13,+20.38,-8.0,-2.8,18.63,-6.42,12.74,2.27,-12.53,+18.97,-4.5,6.25,18.58,25.32,-2.59,-4.19,-8.9,77.43,561551.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June 2015
15,Sid Meier's Civilization VI,289070,0.0,0.0,1.0,0.0,-8.88,1.62,-17.46,13.57,11.93,-3.33,4.47,4.35,-7.63,-10.45,-5.41,-4.77,-4.05,21.55,19.17,-8.17,10.33,25.55,-5.26,14.24,-3.97,-12.57,19.0,-7.93,-2.18,-30.88,-15.77,56.04,-0.13,30.73,13.31,7.4,1.29,-5.94,7.02,-3.97,-6.94,-21.11,-29.91,36.29,21.52,23.62,7.38,8.0,-10.24,-4.43,+13.23,-6.38,-6.06,-5.92,-5.72,-18.62,-6.75,-39.31,-53.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 2016
16,Valheim,892970,0.0,0.0,1.0,0.0,-34.81,-61.12,-15.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2021
17,Unturned,304930,0.0,0.0,1.0,0.0,+0.93,-0.44,-6.4,6.87,14.89,-4.09,-10.15,24.92,-9.64,11.9,-20.12,1.05,-24.0,20.73,20.48,11.82,3.33,-1.27,10.47,29.99,-11.09,-10.05,24.68,+11.47,-3.45,-0.08,-31.24,-27.69,24.51,28.36,22.17,-1.91,-19.02,-0.58,5.37,31.21,0.28,-12.06,-11.24,-17.14,-2.9,13.48,-1.0,-0.1,-28.13,-11.38,+26.83,10.04,-7.66,0.92,-18.21,4.83,4.27,-1.39,-10.06,-4.61,-29.98,19.03,19.0,49.17,-4.49,-12.97,-7.23,11.38,9.2,15.87,-19.46,9.89,-15.73,15.32,42.39,18.67,-0.37,22.61,-10.83,11.42,0.07,9.56,-13.55,-31.15,-55.92,-4.66,711024.33,,,,,,,,,,,,,,,,,,,,,,,,,June 2014
18,Don't Starve Together,322330,0.0,0.0,1.0,0.0,+24.62,-3.83,-31.86,-6.36,6.51,23.35,12.12,24.58,-18.77,-20.61,1.43,25.1,-21.17,12.24,9.15,10.9,5.95,23.61,22.83,0.85,-17.56,+4.91,-17.96,-15.40,79.05,+7.44,-1.97,-17.24,-8.51,-21.99,105.85,20.81,-15.35,-35.89,-18.14,74.19,16.19,-18.33,-21.43,-8.52,2.89,-11.92,62.84,10.0,-11.45,-20.22,+3.59,15.21,-6.75,13.06,-15.68,-24.23,9.6,+5.41,50.45,26.75,-7.66,-24.99,12.94,-8.26,3.82,+15.60,-20.96,-14.56,48.98,49.16,41.44,5.37,-17.53,-12.18,-39.78,68.27,9.63,4.98,-21.43,-47.3,-25.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2014
19,Monster Hunter: World,582010,0.0,0.0,1.0,0.0,-2.25,14.44,-14.98,-22.37,19.31,3.6,-47.07,65.87,-16.01,-29.73,99.12,-44.75,-31.92,-17.72,-26.95,-5.67,271.28,34.55,-26.74,-18.36,5.92,-5.96,67.83,-8.24,25.78,+17.74,-45.2,-28.04,11.42,10.58,-17.05,-53.27,-52.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 2018
20,NBA 2K21,1225330,0.0,0.0,1.0,0.0,+15.80,-8.1,-0.39,24.59,22.67,41.08,-10.73,-39.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September 2020
21,Stardew Valley,413150,0.0,0.0,1.0,0.0,-10.73,-18.11,-13.38,-32.99,93.0,114.58,14.46,-10.73,-18.88,-16.55,31.2,-25.76,-31.6,9.36,15.58,-2.71,0.86,122.46,21.53,-3.67,-15.84,-28.30,24.35,-0.93,-0.54,-4.75,3.48,-16.56,36.64,17.44,-5.47,-14.56,-30.33,1.83,-4.48,-36.97,265.83,-6.51,-10.86,-22.83,19.17,13.23,6.57,18.52,-22.36,-43.06,+74.50,12.97,2.99,-21.04,-1.97,-16.2,47.93,+15.95,-25.69,111.72,-20.61,-40.78,22.86,-21.59,-51.35,-43.22,2091.45,300989.87,-11.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2015
