,Name,App_id,Avg_Players,Gain,Perc_Gain,Peak_Players,Last 30 Days,April 2021,March 2021,February 2021,January 2021,December 2020,November 2020,October 2020,September 2020,August 2020,July 2020,June 2020,May 2020,April 2020,March 2020,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,January 2019,December 2018,November 2018,October 2018,September 2018,August 2018,July 2018,June 2018,May 2018,April 2018,March 2018,February 2018,January 2018,December 2017,November 2017,October 2017,September 2017,August 2017,July 2017,June 2017,May 2017,April 2017,March 2017,February 2017,January 2017,December 2016,November 2016,October 2016,September 2016,August 2016,July 2016,June 2016,May 2016,April 2016,March 2016,February 2016,January 2016,December 2015,November 2015,October 2015,September 2015,August 2015,July 2015,June 2015,May 2015,April 2015,March 2015,February 2015,January 2015,December 2014,November 2014,October 2014,September 2014,August 2014,July 2014,June 2014,May 2014,April 2014,March 2014,February 2014,January 2014,December 2013,November 2013,October 2013,September 2013,August 2013,July 2013,June 2013,May 2013,April 2013,March 2013,February 2013,January 2013,December 2012,November 2012,October 2012,September 2012,August 2012,July 2012,birth
1630,Carto Demo,1431200,0.0,0.0,1.0,0.0,+899.02,-55.19,60.31,-4.14,21.15,-68.06,-68.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 2020
1631,Winning Post 8 2017,526580,0.0,0.0,1.0,0.0,-2.25,-4.24,-10.75,0.79,4.66,5.63,1.03,5.78,-6.22,-9.31,-11.31,-21.44,-2.29,15.58,-4.32,1.23,-1.25,-5.69,-0.62,7.27,7.1,+13.80,-15.0,-14.77,-7.87,-10.68,-1.9,8.09,-2.63,-1.5,1.95,2.09,1.01,-8.72,-16.19,-12.14,-2.53,-17.73,-19.29,-19.84,5.07,-8.03,10.83,6.03,1.81,-11.92,-6.00,-11.72,-12.69,-10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 2017
1632,ArcheAge,304030,0.0,0.0,1.0,0.0,-7.70,10.67,-7.32,8.12,-8.61,-6.6,-4.21,-7.16,-4.27,-7.69,-40.37,-53.09,-11.8,34.83,207.11,29.46,1.31,-21.53,-80.13,41.59,8.6,-5.79,-9.92,+1.90,26.41,+1.56,-11.18,-10.68,3.83,-2.04,22.33,-3.36,-1.23,-6.9,-6.2,-38.01,-37.17,107.39,-15.72,-8.31,-15.46,29.59,-10.78,-5.56,-11.93,-14.69,-21.60,9.37,-3.64,-16.84,-29.46,-25.64,-12.26,+166.23,6.46,-3.84,2.09,-9.83,-22.45,18.36,-0.6,-7.07,-19.04,-10.28,0.34,-10.92,-21.14,7.56,24.71,2.73,-16.28,-19.65,-17.33,362.87,148.54,-18.63,-26.79,-49.12,-52.3,-25.28,36.48,,,,,,,,,,,,,,,,,,,,,,,,,,,August 2014
1633,The Fisherman - Fishing Planet,1072480,0.0,0.0,1.0,0.0,-14.71,-18.26,13.09,-4.04,3.69,-10.6,-14.3,7.83,33.69,-25.75,4.47,-9.33,-11.25,10.56,5.22,-17.66,-16.38,-33.06,-38.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 2019
1634,Villagers and Heroes,263540,0.0,0.0,1.0,0.0,+4.26,-5.22,0.99,2.54,2.76,-4.59,-10.38,0.83,2.46,1.15,3.69,-8.47,-8.63,16.16,8.93,8.64,-9.26,-3.63,10.36,4.05,-11.5,+2.16,4.79,-8.01,-2.74,+12.11,83.14,-46.14,-4.11,-2.24,-7.56,9.59,-3.41,-5.25,-10.47,16.51,9.47,-20.01,1.62,0.07,6.93,-14.8,4.82,15.99,19.62,3.69,+0.68,-4.22,1.19,-2.98,-9.79,0.24,5.6,-7.54,-2.37,12.56,-6.91,-15.54,-4.91,-14.87,1.14,-8.66,-1.87,13.33,11.81,-15.59,-9.42,9.57,-21.14,-12.63,27.86,23.01,-2.04,-0.94,-12.65,2.17,3.83,-16.08,-1.17,-14.31,-39.48,2.05,-19.66,3.09,-49.34,,,,,,,,,,,,,,,,,,,,,,,April 2014
1635,Trader Life Simulator,1415660,0.0,0.0,1.0,0.0,-30.69,268.59,615.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2021
1636,Hellish Quart,1000360,0.0,0.0,1.0,0.0,+0.02,-51.03,-62.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2021
1637,Fishing: North Atlantic,1264250,0.0,0.0,1.0,0.0,-10.90,-3.34,-22.74,-27.52,6.79,-48.71,-48.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 2020
1638,Airships: Conquer the Skies,342560,0.0,0.0,1.0,0.0,-27.36,28.41,-12.55,25.59,-2.73,-8.59,-8.18,-10.32,-9.04,33.28,32.78,-4.33,-12.23,16.13,5.69,-32.48,25.62,-3.85,43.07,1.18,-7.84,-11.69,-3.58,+19.83,4.03,-11.98,-14.39,-42.79,76.25,7.7,-31.54,-65.85,-25.57,953.33,6.8,9.51,-1.0,-2.49,12.87,4.05,12.56,-14.48,10.71,-22.0,-5.17,-29.83,+20.83,17.12,4.54,-37.57,-26.68,93.16,45.39,+11.04,-3.89,-20.04,-11.3,-3.11,17.7,-34.0,121.34,-3.38,64.43,-22.09,48.62,-16.43,69.51,8.15,-46.47,123.51,23.11,-1.55,16.03,-37.25,-27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2015
1639,Automation Empire,1112790,0.0,0.0,1.0,0.0,-3.29,-9.75,-16.38,-25.67,-19.41,-25.73,86.27,-6.18,47.61,-18.51,-3.68,-22.75,-18.19,-14.01,-38.92,-42.44,-48.43,-65.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November 2019
1640,VTOL VR,667970,0.0,0.0,1.0,0.0,+1.94,13.11,8.1,-17.18,20.21,21.85,13.79,-23.05,-16.51,28.13,94.04,0.2,7.75,9.68,27.17,-21.14,3.94,34.06,8.11,-12.4,-14.85,-42.74,74.63,+69.16,11.01,-14.53,-4.35,-10.05,10.49,53.19,-26.38,-22.47,58.51,25.57,29.39,-3.84,-30.44,56.6,-38.34,62.77,10.4,23.29,4.94,-38.31,-54.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 2017
1641,Arma 3 Tools,233800,0.0,0.0,1.0,0.0,-8.22,-2.06,-0.21,4.09,11.33,-1.76,-1.4,8.19,-1.06,1.22,-12.5,-18.94,-12.41,37.7,15.83,2.03,13.73,-4.32,-0.73,4.08,-23.12,+6.32,1.88,-0.96,-2.22,-7.13,-1.9,1.84,19.2,-5.42,3.33,-8.95,-2.75,-5.05,-0.53,7.32,-2.93,-5.44,0.38,-2.45,8.37,-2.24,0.14,0.59,-12.97,-3.74,+3.45,1.69,-3.81,7.05,-3.66,2.13,9.19,-3.52,14.64,-4.48,-1.26,6.73,-26.5,5.19,2.45,+3.82,-0.48,-4.86,24.43,13.68,-6.49,3.92,4.33,10.51,13.85,-11.71,4.18,-11.41,-8.71,35.7,8.33,4.55,4.93,17.82,1.01,24.27,5.11,-2.5,32.63,-2.1,22.34,19.21,11.12,+157.36,+9923.01,,+NaN,+NaN,+NaN,+NaN,+NaN,+NaN,,,,,,,,,,March 2013
1642,Job Simulator,448280,0.0,0.0,1.0,0.0,-11.38,35.21,-2.24,-19.67,7.31,32.29,-1.11,8.37,-23.19,-0.97,35.65,20.92,0.37,-40.31,-21.2,-19.58,-5.55,35.34,1.21,0.51,-21.07,-39.99,68.63,+26.68,-13.6,-10.26,3.75,-23.93,3.58,40.89,17.93,-8.28,-12.9,3.09,11.87,17.4,-7.15,4.17,0.69,-27.29,2.71,57.63,19.64,8.84,-18.87,-4.63,-1.66,-3.49,-11.46,8.15,-0.86,-8.57,31.7,+41.43,6.78,0.7,-29.69,-16.2,-2.51,-7.4,153.64,+9315.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 2016
1643,Tabletopia,402560,0.0,0.0,1.0,0.0,-12.92,-10.31,-4.83,-9.39,24.49,-10.2,8.82,45.94,-11.25,-15.99,-25.85,-46.11,-38.98,105.95,702.84,-4.02,29.37,-11.47,27.88,-17.09,-9.11,+9.30,3.77,-7.63,-4.44,-9.36,-9.26,-1.53,51.1,-13.73,-3.16,-18.22,12.26,5.27,1.64,-19.26,9.07,-14.65,19.33,-13.05,26.59,7.86,-9.18,-12.89,1.79,-8.53,+0.67,-11.78,4.38,7.49,-24.4,-51.33,-56.36,+1430.64,26.93,26.63,8.86,-0.3,24.33,12.99,-51.18,+332.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 2016
1644,Ni no Kuni Wrath of the White Witch™ Remastered,798460,0.0,0.0,1.0,0.0,-4.59,-25.65,-33.9,-19.39,2.46,57.76,-21.91,-58.08,345.09,-39.1,51.96,-29.11,63.39,9.88,-39.79,-27.21,106.99,53.46,-56.27,-63.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September 2019
1645,DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition,968790,0.0,0.0,1.0,0.0,+48.11,43.15,-0.56,17.43,8.29,1.07,-1.75,-13.69,-27.96,10.02,24.3,-30.57,12.85,-18.73,22.65,-5.69,17.17,14.82,-24.51,53.65,-7.86,-37.48,29.03,-8.63,-4.92,-2.83,-2.24,15.27,-53.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2018
1646,World War II: Panzer Claws,254100,0.0,0.0,1.0,0.0,-61.12,-49.09,199.4,-35.01,-4.76,217.92,-10.31,-44.93,-31.23,-12.35,23.96,19.32,-28.28,-28.66,70.87,37.46,-34.29,43.57,101.18,-45.65,90.59,-80.33,150.82,-41.26,-4.51,+122.18,-60.37,194.21,-39.03,-27.06,89.66,-38.78,-19.56,-4.12,13.66,198.83,-64.08,-39.12,-23.96,-50.11,115.3,24.35,11912.76,-30.14,120.04,-19.81,-45.82,90.56,-28.69,22.02,-34.61,9.82,-18.98,-9.54,-5.78,-17.07,-18.63,12.91,442.98,-10.59,16.9,-59.45,13.7,1.17,38.08,61.09,-33.3,-58.48,111.72,3.44,60.69,-43.31,50.65,-56.81,6.04,41.49,-20.16,-34.63,74.99,-44.06,38.49,-30.51,176.5,-49.04,88.52,-36.19,-48.92,-30.98,32.24,-33.25,-37.01,-51.45,,,,,,,,,,,,,,,,September 2013
1647,Mashinky,598960,0.0,0.0,1.0,0.0,-7.92,2.41,-11.23,-23.17,4.83,-23.7,35.61,-4.32,48.97,-5.88,-22.82,0.48,-3.79,-7.49,63.15,-25.91,-14.58,-2.65,-29.53,97.63,17.98,-3.29,-17.1,-35.32,98.39,-23.18,-22.29,-5.45,31.87,-17.67,-28.07,153.69,-15.55,2.19,4.91,18.4,1.04,-23.72,-32.26,-35.01,11.64,-0.49,-58.23,13241.24,666.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 2017
1648,Mitos.is: The Game,389570,0.0,0.0,1.0,0.0,-6.81,3.73,0.63,-9.86,-0.14,2.02,-3.43,4.72,-14.64,-2.5,-16.48,-5.45,-14.84,28.2,17.22,-13.01,-7.14,12.66,25.31,-1.51,-10.65,-9.37,0.04,-1.63,-6.35,-2.34,-10.36,-18.69,-12.13,3.72,-4.97,-8.72,-12.12,-5.32,-7.01,0.86,-11.66,-12.74,-9.02,-4.96,-12.2,8.81,-3.31,-0.46,-5.6,-10.15,-0.65,-6.92,-20.64,11.35,-9.64,-8.94,-5.14,+2.50,-2.46,5.47,-3.83,-24.02,-10.15,-24.27,-28.68,-0.25,-4.83,-9.28,-12.89,-1.78,71.02,180.83,-13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 2015
1649,SENRAN KAGURA ESTIVAL VERSUS,502800,0.0,0.0,1.0,0.0,+91.46,-3.94,-28.23,-13.73,1.38,45.23,-17.14,10.02,2.56,-41.91,48.47,-29.91,76.95,2.67,-21.3,-30.4,-12.97,-29.92,267.06,-8.66,-27.18,-38.21,34.52,-32.28,42.46,-39.08,-8.82,6.27,-9.87,34.59,89.43,-6.48,-7.88,-45.79,18.44,38.32,-3.47,-29.16,-23.77,-24.69,-6.71,52.39,38.58,-10.72,-17.14,-50.06,+37.23,19.37,-53.79,-29.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 2017
1650,SUPERHOT: MIND CONTROL DELETE,690040,0.0,0.0,1.0,0.0,+0.93,-32.56,15.6,-17.59,-1.64,-18.1,-8.6,-22.83,-50.64,-61.6,11188.42,0.65,-10.97,-19.98,-6.76,-14.93,-22.15,142.26,-0.05,-3.34,-38.84,+58.28,-17.9,+8.00,116.96,-19.09,-30.13,-30.58,86.42,12.14,-24.73,-24.15,0.95,-59.64,128.22,8.58,-18.36,2.37,-0.92,-19.76,-22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2017
1651,STEINS;GATE 0,825630,0.0,0.0,1.0,0.0,+29.24,-11.28,-30.19,-13.22,30.75,-25.35,-6.5,63.33,-31.83,-40.32,95.3,-32.55,39.32,-26.58,12.67,6.84,8.53,17.07,-7.46,40.39,-39.99,-11.38,23.37,-54.33,348.21,-16.06,-32.2,-1.83,38.49,-3.74,-22.62,-31.76,-33.36,-23.04,-17.46,-59.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 2018
1652,Mega Man X Legacy Collection,743890,0.0,0.0,1.0,0.0,+19.71,90.65,-22.84,-10.1,0.18,31.55,4.39,19.36,-16.9,-35.95,36.71,-21.94,17.76,-10.44,-4.53,70.86,-6.32,73.11,11.29,-53.19,91.2,-8.29,27.98,-32.34,10.85,+31.99,-23.54,-18.79,-6.18,-37.15,19.07,-29.72,-63.87,-72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July 2018
1653,东方华彩乱战2 ~ Touhou Blooming Chaos 2,1260810,0.0,0.0,1.0,0.0,+58.92,-53.6,-28.91,41.29,58.66,-24.65,140.02,-53.82,24.0,-18.02,7.39,-0.79,-55.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April 2020
1654,Rayman Legends,242550,0.0,0.0,1.0,0.0,-15.22,-17.0,13.03,-22.25,11.55,35.85,29.24,-29.63,23.56,-25.24,25.36,-12.85,-29.82,-15.64,85.21,-19.77,9.52,58.11,-21.19,20.69,-21.33,-9.73,40.04,+7.39,-19.46,-18.76,4.88,5.34,0.8,28.47,4.06,-29.49,37.97,-25.22,18.0,10.2,-25.0,-12.54,4.42,-35.5,66.66,37.16,19.91,-3.78,-4.3,-27.4,+23.62,18.56,-17.98,3.3,-7.67,-22.26,19.58,+21.81,2.73,-3.57,-13.74,-13.32,8.91,3.11,-33.41,+2.92,21.46,-20.57,10.16,29.77,-4.01,1.02,-13.64,-16.21,-22.72,34.19,-33.3,-48.62,395.01,-20.42,3.69,21.89,-20.0,-13.09,-28.89,-41.38,24.22,103.23,-18.81,-37.68,-0.31,-43.8,5.33,+34.20,+10.08,-65.71,,,,,,,,,,,,,,,,September 2013
1655,伊格利亚战记,1116880,0.0,0.0,1.0,0.0,+1.52,36.05,-49.29,18.44,-0.56,-19.45,-51.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 2020
1656,DayZ Tools,830640,0.0,0.0,1.0,0.0,+3.88,-4.93,1.35,6.41,9.27,1.45,2.05,13.91,19.0,1.46,4.14,-12.86,1.66,18.15,21.85,10.66,11.74,8.06,1.36,4.1,2.03,+9.22,5.78,+20.41,21.42,+5.97,-8.79,-6.4,15.15,47.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November 2018
1657,Island Saver,1210250,0.0,0.0,1.0,0.0,-5.90,-18.72,-14.42,30.59,-2.09,9.93,5.47,-19.5,-32.07,-8.79,-46.01,-48.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 2020
1658,Mirror's Edge™ Catalyst,1233570,0.0,0.0,1.0,0.0,-9.82,-44.91,-51.3,69.13,5.15,41.86,33.68,-42.24,156.0,-57.07,-73.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June 2020
1659,Sonic & All-Stars Racing Transformed Collection,212480,0.0,0.0,1.0,0.0,+40.83,-3.56,-22.68,-18.03,4.04,24.59,-13.21,62.01,-24.13,-38.93,27.95,35.08,-16.29,11.43,-9.23,30.12,-7.48,56.85,7.64,-0.05,-13.48,-10.23,-9.31,-18.41,22.93,-9.72,-18.92,-37.76,8.93,51.24,-9.42,60.53,-15.03,-9.16,-3.23,3.57,-5.98,-9.56,-11.3,-32.2,1.44,49.04,36.83,-12.38,-15.49,-46.68,+31.49,49.91,-46.68,76.99,-35.39,36.6,20.04,+21.64,-2.09,-7.5,-12.02,-28.16,13.33,31.24,-15.23,-45.47,-5.35,-21.24,55.45,68.86,23.05,-2.52,-14.7,-6.43,-21.01,34.64,-8.98,-14.37,-12.35,-43.98,-27.41,103.94,121.34,-19.94,-15.2,-33.99,-23.49,2.71,104.45,-18.88,5.75,-41.48,-70.67,+621.56,-15.78,-50.03,-9.86,-73.25,+1715.51,-17.15,-16.74,-49.15,-37.84,,,,,,,,,February 2013
1660,Chinese Paladin：Sword and Fairy,695630,0.0,0.0,1.0,0.0,+15.14,38.59,-26.95,24.17,94.12,0.3,-7.5,15.3,-13.09,-13.33,36.78,7.94,-31.02,-4.31,-20.42,83.39,31.94,12.24,-11.49,2.02,-9.48,+23.18,11.54,+18.88,0.58,-11.18,9.16,-17.19,-19.51,25.48,22.38,11.22,-0.97,-21.88,1.5,16.61,-14.18,8.7,-1.12,-11.07,3.73,-37.32,-75.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 2017
1661,Romance of the Three Kingdoms IX with Power Up Kit,628050,0.0,0.0,1.0,0.0,+16.16,1.41,-15.51,3.95,18.19,7.55,-0.15,-2.36,-0.07,7.35,-9.61,-21.9,1.45,5.27,-9.49,25.64,31.92,-10.93,-1.12,-11.2,-0.99,+28.98,-1.31,-8.62,20.62,-3.99,-8.89,24.94,-7.31,1.27,5.85,-13.72,-8.87,48.28,-2.7,-5.42,20.12,7.75,-1.4,-14.77,2.66,-3.91,-2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 2017
1662,Ylands,298610,0.0,0.0,1.0,0.0,-14.33,-10.56,-29.51,-22.46,9.7,34.22,9.2,-7.0,-6.68,1.07,-17.38,-7.37,-22.03,3.06,-9.86,-20.03,-59.19,719.63,47.22,-22.48,-13.81,+14.06,-2.08,-13.17,-6.82,+25.41,-20.19,-22.94,-14.2,12.75,21.7,-1.47,-14.51,-15.14,-30.34,1.73,-0.14,-19.3,-43.69,-49.43,-51.24,29971.68,6.59,313.14,259.81,153.0,+37.69,357.09,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 2017
1663,Peace Data,1209140,0.0,0.0,1.0,0.0,+0.69,-4.64,-5.52,-0.37,-9.08,-15.71,8.55,-2.2,-1.58,18.58,92.27,242.22,8.28,4009.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2020
1664,Nebuchadnezzar,1157220,0.0,0.0,1.0,0.0,-29.58,-2.91,-68.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2021
1665,Sniper 3D Assassin: Shoot to Kill,922320,0.0,0.0,1.0,0.0,-2.59,-3.06,-10.34,-0.35,-2.3,-9.4,-7.73,-19.59,-4.95,1.45,-18.2,-23.39,-3.5,35.01,14.59,11.06,7.78,-0.18,31.3,3.82,8.24,+3.78,-6.64,-16.47,-3.8,-15.67,-17.72,-19.75,-30.89,-20.17,50.95,128.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September 2018
1666,BPM: BULLETS PER MINUTE,1286350,0.0,0.0,1.0,0.0,-14.55,-28.21,-41.85,161.42,-16.59,-33.73,-25.38,-70.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September 2020
1667,Age of Conan: Unchained,217750,0.0,0.0,1.0,0.0,-2.21,3.54,-4.58,-6.58,8.46,-4.3,5.62,0.77,4.72,-3.8,-18.94,-21.52,-0.19,29.83,9.69,-12.13,16.99,0.33,15.34,-16.86,27.25,+2.10,-15.19,-19.67,14.25,-8.56,8.27,6.53,1.75,-10.32,-5.58,5.28,1.23,-7.42,-2.09,-21.05,-1.99,-15.62,-29.63,50.92,49.53,9.05,-2.99,-9.07,-19.73,-1.73,-7.20,-11.18,12.91,-14.72,-24.89,49.65,14.51,+2.29,-16.21,6.15,-0.16,3.13,44.86,18.57,-6.34,+11.81,-6.66,10.32,18.56,-4.16,-12.97,4.39,-15.15,9.98,-3.8,-16.89,-0.38,-5.6,-9.69,17.9,26.59,-10.04,3.05,-0.34,-19.87,2.89,-0.37,-2.97,-5.65,-19.99,-27.39,-3.58,9.08,+6.24,-3.93,-2.24,+4.15,+4.38,-24.46,-24.56,-11.39,-38.26,-25.19,,,,,,,,,February 2013
1668,FlowScape,1043390,0.0,0.0,1.0,0.0,+212.92,-42.22,8.31,41.93,13.28,12.48,14.64,-14.0,23.74,-31.4,-24.51,41.5,-2.06,2.31,2.86,-11.0,-8.85,-12.65,-11.37,-50.53,-56.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 2019
1669,Dead Rising,427190,0.0,0.0,1.0,0.0,+14.18,140.37,-30.78,-1.11,17.63,-13.54,28.28,-46.33,138.9,-33.0,24.47,-36.01,56.6,1.93,-29.66,44.16,-4.01,1.36,51.08,25.83,-16.57,-32.99,35.04,-52.14,38.3,+84.11,-21.77,-13.93,-3.07,-31.36,119.39,-3.77,-6.86,-41.82,21.84,19.72,-4.74,10.57,-6.3,-34.07,-1.96,-8.17,-9.03,-44.44,17.38,32.28,+42.24,158.73,-16.64,-21.73,-3.19,-50.31,0.05,+2.47,-38.38,-80.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September 2016
1670,Shovel Knight: Treasure Trove,250760,0.0,0.0,1.0,0.0,-5.34,-21.77,-17.87,-17.33,-9.96,48.92,31.34,-8.05,-15.79,-26.74,17.44,-4.93,-23.78,-10.82,-13.23,-36.56,-58.44,1033.84,-6.92,-8.61,12.28,-27.02,-18.12,-36.02,133.85,-25.81,22.18,-15.64,7.6,16.99,-7.62,-16.06,2.46,-18.11,8.4,7.63,-28.53,48.01,-15.04,-28.48,41.76,8.46,-19.86,-0.18,-1.15,-32.23,-4.47,-32.24,-58.3,233.67,19.74,-19.71,44.58,+40.89,20.13,2.72,-6.4,-40.51,29.78,25.45,-28.16,+28.83,-37.27,-28.98,10.95,19.35,-16.67,-34.64,217.81,-8.66,-39.29,62.45,17.45,-14.06,-14.25,-64.84,74.68,264.47,-26.22,-36.02,-38.54,-63.16,-28.89,,,,,,,,,,,,,,,,,,,,,,,,,June 2014
1671,Eco Server,739590,0.0,0.0,1.0,0.0,-9.35,-33.17,-18.65,25.86,71.92,-10.69,-11.32,-24.93,128.85,-20.31,27.06,-35.95,12.1,24.17,-28.38,21.83,56.19,17.23,40.85,21.93,-27.7,-37.55,13.66,-28.96,-9.4,-18.47,4.66,18.21,56.9,8.61,-34.71,12.48,6.28,-21.01,-10.96,-48.74,-42.14,-37.64,51.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2018
1672,Substance Designer 2021,1454910,0.0,0.0,1.0,0.0,-0.92,1.13,19.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2021
1673,Road Redemption,300380,0.0,0.0,1.0,0.0,+9.57,-42.12,60.34,-34.65,72.64,-21.0,28.92,-42.75,84.85,-40.69,8.78,-39.16,31.96,-0.84,-53.18,149.99,15.52,-19.74,107.33,-30.49,-8.27,-57.97,248.92,-30.72,7.76,+13.22,17.58,-49.43,17.44,13.33,-44.49,62.86,-5.37,-60.19,128.64,135.79,-45.5,43.09,-21.69,-59.67,46.9,-5.82,-63.53,524.35,50.94,-8.06,+26.45,6.73,-34.82,74.82,18.11,-17.36,10.55,-9.61,0.96,-2.09,-16.77,-41.01,38.05,157.49,-2.4,-8.39,-50.05,13.56,-15.83,25.77,-19.23,67.71,-4.48,-67.11,-3.27,345.1,-26.08,27.08,-43.4,-1.05,-33.0,12.44,-13.45,-7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,September 2014
1674,Ambrosia,1078350,0.0,0.0,1.0,0.0,-16.88,4.24,-67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2021
